X	Y	mean	nr_fire	nr_100km2	gridsize
-175.5	7.5	0	0	0	1228585.91
-175.5	8.5	0	0	0	1225575.926
-175.5	9.5	0	0	0	1222192.619
-175.5	10.5	0	0	0	1218437.02
-175.5	11.5	0	0	0	1214310.274
-175.5	12.5	0	0	0	1209813.637
-175.5	13.5	0	0	0	1204948.479
-175.5	14.5	0	0	0	1199716.282
-175.5	15.5	0	0	0	1194118.639
-175.5	16.5	0	0	0	1188157.257
-175.5	17.5	0	0	0	1181833.95
-174.5	-35.5	0	0	0	1008841.594
-174.5	-34.5	0	0	0	1021246.691
-174.5	-33.5	0	0	0	1033340.707
-174.5	-32.5	0	0	0	1045119.957
-174.5	-31.5	0	0	0	1056580.854
-174.5	-30.5	0	0	0	1067719.906
-174.5	-29.5	0	0	0	1078533.72
-174.5	-28.5	0	0	0	1089019.002
-174.5	-27.5	0	0	0	1099172.558
-174.5	-26.5	0	0	0	1108991.296
-174.5	-25.5	0	0	0	1118472.224
-174.5	-24.5	0	0	0	1127612.455
-174.5	-23.5	0	0	0	1136409.204
-174.5	-22.5	0	0	0	1144859.792
-174.5	-21.5	0	0	0	1152961.644
-174.5	-20.5	0	0	0	1160712.293
-174.5	-19.5	0	0	0	1168109.378
-174.5	-18.5	0	0	0	1175150.645
-174.5	-17.5	0	0	0	1181833.95
-174.5	-16.5	0	0	0	1188157.257
-174.5	-15.5	0	0	0	1194118.639
-174.5	-14.5	0	0	0	1199716.282
-174.5	-13.5	0	0	0	1204948.479
-174.5	-12.5	0	0	0	1209813.637
-174.5	-11.5	0	0	0	1214310.274
-174.5	-10.5	0	0	0	1218437.02
-174.5	-9.5	0	0	0	1222192.619
-174.5	-8.5	0	0	0	1225575.926
-174.5	-7.5	0	0	0	1228585.91
-174.5	-6.5	0	0	0	1231221.655
-174.5	-5.5	0	0	0	1233482.358
-174.5	-4.5	0	0	0	1235367.33
-174.5	-3.5	0	0	0	1236875.997
-174.5	-2.5	0	0	0	1238007.9
-174.5	-1.5	0	0	0	1238762.693
-174.5	-0.5	0	0	0	1239140.147
-174.5	0.5	0	0	0	1239140.147
-174.5	1.5	0	0	0	1238762.693
-174.5	2.5	0	0	0	1238007.9
-174.5	3.5	0	0	0	1236875.997
-174.5	4.5	0	0	0	1235367.33
-174.5	5.5	0	0	0	1233482.358
-174.5	6.5	0	0	0	1231221.655
-174.5	7.5	0	0	0	1228585.91
-174.5	8.5	0	0	0	1225575.926
-174.5	9.5	0	0	0	1222192.619
-174.5	10.5	0	0	0	1218437.02
-174.5	11.5	0	0	0	1214310.274
-174.5	12.5	0	0	0	1209813.637
-174.5	13.5	0	0	0	1204948.479
-174.5	14.5	0	0	0	1199716.282
-174.5	15.5	0	0	0	1194118.639
-174.5	16.5	0	0	0	1188157.257
-174.5	17.5	0	0	0	1181833.95
-173.5	-35.5	0	0	0	1008841.594
-173.5	-34.5	0	0	0	1021246.691
-173.5	-33.5	0	0	0	1033340.707
-173.5	-32.5	0	0	0	1045119.957
-173.5	-31.5	0	0	0	1056580.854
-173.5	-30.5	0	0	0	1067719.906
-173.5	-29.5	0	0	0	1078533.72
-173.5	-28.5	0	0	0	1089019.002
-173.5	-27.5	0	0	0	1099172.558
-173.5	-26.5	0	0	0	1108991.296
-173.5	-25.5	0	0	0	1118472.224
-173.5	-24.5	0	0	0	1127612.455
-173.5	-23.5	0	0	0	1136409.204
